TrialID,TaskID,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z
1,Training,OnTask,-0.4368938,1.613996,-0.9546439
1,Training,OnTask,-0.4364737,1.613981,-0.9548223
1,Training,OnTask,-0.4362635,1.614017,-0.9550081
1,Training,OnTask,-0.4358579,1.613896,-0.9550809
1,Training,OnTask,-0.4357809,1.613589,-0.9551352
1,Training,OnTask,-0.4354949,1.613588,-0.9554117
1,Training,OnTask,-0.4360147,1.612796,-0.9547822
1,Training,OnTask,-0.4368553,1.611116,-0.9529928
1,Training,OnTask,-0.4377868,1.608225,-0.9511606
1,Training,OnTask,-0.438936,1.60472,-0.9489013
1,Training,OnTask,-0.4410673,1.60014,-0.9460987
1,Training,OnTask,-0.44313,1.597024,-0.9446917
1,Training,OnTask,-0.444988,1.594969,-0.9441198
1,Training,OnTask,-0.4459321,1.595005,-0.9455819
1,Training,OnTask,-0.4462177,1.597361,-0.9478199
1,Training,OnTask,-0.4456062,1.603442,-0.9531056
1,Training,OnTask,-0.4442846,1.609282,-0.9605576
1,Training,OnTask,-0.4439008,1.61114,-0.964092
1,Training,OnTask,-0.4438694,1.612898,-0.9682175
1,Training,OnTask,-0.4438356,1.613892,-0.9705352
1,Training,OnTask,-0.443571,1.61405,-0.9712888
1,Training,OnTask,-0.44293,1.613801,-0.9712403
1,Training,OnTask,-0.4419446,1.613704,-0.9707973
1,Training,OnTask,-0.4407838,1.613818,-0.9706024
1,Training,OnTask,-0.4383756,1.614051,-0.9707063
1,Training,OnTask,-0.435172,1.614453,-0.9707563
1,Training,OnTask,-0.4329613,1.614785,-0.9707063
1,Training,OnTask,-0.430122,1.615083,-0.970564
1,Training,OnTask,-0.4281126,1.615457,-0.9699129
1,Training,OnTask,-0.4269865,1.615606,-0.9692702
1,Training,OnTask,-0.4260623,1.615594,-0.9677026
1,Training,OnTask,-0.4259279,1.615327,-0.9656254
1,Training,OnTask,-0.4258417,1.615184,-0.964244
1,Training,OnTask,-0.4261138,1.614879,-0.9618661
1,Training,OnTask,-0.4269666,1.614923,-0.9593354
1,Training,OnTask,-0.4283863,1.615116,-0.9569808
1,Training,OnTask,-0.430479,1.615119,-0.9537996
1,Training,OnTask,-0.4321389,1.614967,-0.9504029
1,Training,OnTask,-0.4333852,1.614503,-0.9478604
1,Training,OnTask,-0.4356533,1.613346,-0.9432517
1,Training,OnTask,-0.4378696,1.609232,-0.9381403
1,Training,OnTask,-0.4402224,1.602988,-0.9325652
1,Training,OnTask,-0.4449974,1.5908,-0.9223256
1,Training,OnTask,-0.4513889,1.579522,-0.9122194
1,Training,OnTask,-0.457683,1.570643,-0.9056001
1,Training,OnTask,-0.4690563,1.562631,-0.8975527
1,Training,OnTask,-0.4792147,1.561633,-0.8925943
1,Training,OnTask,-0.4877695,1.560675,-0.8889749
1,Training,OnTask,-0.4988376,1.558947,-0.8841929
1,Training,OnTask,-0.5096006,1.557486,-0.8787147
1,Training,OnTask,-0.5174432,1.556926,-0.8748834
1,Training,OnTask,-0.5266421,1.556554,-0.8696024
1,Training,OnTask,-0.533534,1.556523,-0.8649579
1,Training,OnTask,-0.5367025,1.556427,-0.8616383
1,Training,OnTask,-0.5386797,1.556273,-0.8576737
1,Training,OnTask,-0.53978,1.556347,-0.854311
1,Training,OnTask,-0.5416269,1.556746,-0.8524613
1,Training,OnTask,-0.5448278,1.557555,-0.8520128
1,Training,OnTask,-0.5485407,1.559451,-0.8518966
1,Training,OnTask,-0.5518858,1.56133,-0.852093
1,Training,OnTask,-0.556838,1.563331,-0.8522385
1,Training,OnTask,-0.5614317,1.564345,-0.8521399
1,Training,OnTask,-0.5649874,1.564601,-0.851722
1,Training,OnTask,-0.5675601,1.564451,-0.8510979
1,Training,OnTask,-0.5678681,1.564593,-0.8503467
1,Training,OnTask,-0.5644374,1.564083,-0.8488177
1,Training,OnTask,-0.5607436,1.563602,-0.8488996
1,Training,OnTask,-0.5577735,1.563721,-0.849502
1,Training,OnTask,-0.5568631,1.563753,-0.84979
1,Training,OnTask,-0.5566821,1.564026,-0.8478562
1,Training,OnTask,-0.5575339,1.563541,-0.8416575
1,Training,OnTask,-0.5582221,1.562446,-0.8371266
1,Training,OnTask,-0.5584252,1.562638,-0.8316079
1,Training,OnTask,-0.5567564,1.560375,-0.826497
1,Training,OnTask,-0.5520475,1.558409,-0.8234551
1,Training,OnTask,-0.5421232,1.557179,-0.8208009
1,Training,OnTask,-0.5213485,1.554908,-0.8190482
1,Training,OnTask,-0.5012081,1.552394,-0.8209058
1,Training,OnTask,-0.4744463,1.549264,-0.8286769
1,Training,OnTask,-0.4453834,1.546859,-0.8420986
1,Training,OnTask,-0.434207,1.546149,-0.8507761
1,Training,OnTask,-0.4241292,1.545783,-0.8602535
1,Training,OnTask,-0.4192699,1.546702,-0.8673196
1,Training,OnTask,-0.4177688,1.547952,-0.8717269
1,Training,OnTask,-0.4159421,1.550192,-0.8769739
1,Training,OnTask,-0.4148236,1.551769,-0.8809886
1,Training,OnTask,-0.4146078,1.553272,-0.8830302
1,Training,OnTask,-0.4110068,1.558177,-0.8866911
1,Training,OnTask,-0.405378,1.563153,-0.8922623
1,Training,OnTask,-0.400464,1.565565,-0.8961212
1,Training,OnTask,-0.3932735,1.566352,-0.9002565
1,Training,OnTask,-0.3862895,1.566283,-0.9035302
1,Training,OnTask,-0.3818333,1.566277,-0.9037691
1,Training,OnTask,-0.3766869,1.566186,-0.9028051
1,Training,OnTask,-0.3722924,1.5671,-0.9010414
1,Training,OnTask,-0.3695341,1.569482,-0.8993509
1,Training,OnTask,-0.366683,1.573472,-0.8980501
1,Training,OnTask,-0.363947,1.574744,-0.8967873
1,Training,OnTask,-0.3611686,1.575096,-0.8950983
1,Training,OnTask,-0.3575523,1.575389,-0.8924
1,Training,OnTask,-0.3544217,1.575133,-0.8884141
1,Training,OnTask,-0.3522855,1.574602,-0.8847704
1,Training,OnTask,-0.349476,1.574547,-0.8793544
1,Training,OnTask,-0.3464026,1.57601,-0.8735573
1,Training,OnTask,-0.3439091,1.577063,-0.868411
1,Training,OnTask,-0.3402158,1.577375,-0.861062
1,Training,OnTask,-0.3355671,1.578444,-0.8549273
1,Training,OnTask,-0.3317207,1.579626,-0.8511429
1,Training,OnTask,-0.3251578,1.580897,-0.8461915
1,Training,OnTask,-0.3178201,1.581673,-0.8388543
1,Training,OnTask,-0.3134049,1.58032,-0.8306673
1,Training,OnTask,-0.3107507,1.578748,-0.8160611
1,Training,OnTask,-0.3113526,1.577956,-0.7973585
1,Training,OnTask,-0.3125735,1.576442,-0.78136
1,Training,OnTask,-0.3164197,1.574409,-0.7588813
1,Training,OnTask,-0.3240492,1.573895,-0.7356634
1,Training,OnTask,-0.3306223,1.5764,-0.7157151
1,Training,OnTask,-0.338203,1.578162,-0.6867415
1,Training,OnTask,-0.342738,1.576173,-0.6612964
1,Training,OnTask,-0.3417368,1.571419,-0.6445259
1,Training,OnTask,-0.3364307,1.570556,-0.6270971
1,Training,OnTask,-0.3248951,1.568284,-0.6109715
1,Training,OnTask,-0.3151039,1.56471,-0.6021628
1,Training,OnTask,-0.2956558,1.558558,-0.5911207
1,Training,OnTask,-0.2718953,1.544973,-0.580972
1,Training,OnTask,-0.2515866,1.527616,-0.5731493
1,Training,OnTask,-0.2170468,1.506234,-0.5624564
1,Training,OnTask,-0.1727426,1.494416,-0.5522137
1,Training,OnTask,-0.1318862,1.49329,-0.5453837
1,Training,OnTask,-0.06733964,1.500706,-0.5351124
1,Training,OnTask,0.007091099,1.519188,-0.523531
1,Training,OnTask,0.0511019,1.532926,-0.5180644
1,Training,OnTask,0.1108386,1.550194,-0.510745
1,Training,OnTask,0.1562758,1.561093,-0.49753
1,Training,OnTask,0.1857804,1.565802,-0.484401
1,Training,OnTask,0.2273218,1.566121,-0.4608852
1,Training,OnTask,0.2639302,1.56013,-0.4373586
1,Training,OnTask,0.2954172,1.552398,-0.4163275
1,Training,OnTask,0.333732,1.540206,-0.3892335
1,Training,OnTask,0.3712477,1.528592,-0.3582783
1,Training,OnTask,0.4020752,1.523841,-0.3291057
1,Training,OnTask,0.4438004,1.527143,-0.2912214
1,Training,OnTask,0.4885138,1.534267,-0.2572336
1,Training,OnTask,0.5177312,1.536353,-0.2396006
1,Training,OnTask,0.5615854,1.546236,-0.220248
1,Training,OnTask,0.6044376,1.556,-0.2067425
1,Training,OnTask,0.640726,1.558977,-0.1962192
1,Training,OnTask,0.6864433,1.555471,-0.1834294
1,Training,OnTask,0.7350693,1.546499,-0.1714913
1,Training,OnTask,0.7690266,1.538995,-0.1640435
1,Training,OnTask,0.8241012,1.528295,-0.153474
1,Training,OnTask,0.8830408,1.522108,-0.1446752
1,Training,OnTask,0.9336921,1.519764,-0.1385771
1,Training,OnTask,0.994423,1.522156,-0.1329216
1,Training,OnTask,1.047805,1.533305,-0.128668
1,Training,OnTask,1.076868,1.54185,-0.1261778
1,Training,OnTask,1.112424,1.55341,-0.1212233
1,Training,OnTask,1.141769,1.55728,-0.1159227
1,Training,OnTask,1.163307,1.557096,-0.110897
1,Training,OnTask,1.183704,1.553867,-0.1048176
1,Training,OnTask,1.197984,1.556223,-0.09767124
1,Training,OnTask,1.204624,1.557965,-0.09241298
1,Training,OnTask,1.2156,1.555982,-0.08549802
1,Training,OnTask,1.228395,1.554385,-0.08219627
1,Training,OnTask,1.242271,1.556086,-0.08216517
1,Training,OnTask,1.25918,1.550918,-0.08464354
1,Training,OnTask,1.276532,1.542091,-0.08691281
1,Training,OnTask,1.286448,1.544698,-0.08660106
1,Training,OnTask,1.297409,1.553081,-0.08646431
1,Training,OnTask,1.30365,1.55764,-0.08645845
1,Training,OnTask,1.307059,1.557693,-0.08545244
1,Training,OnTask,1.309919,1.555175,-0.08411956
1,Training,OnTask,1.308733,1.553881,-0.08399607
1,Training,OnTask,1.305288,1.555271,-0.08362351
1,Training,OnTask,1.296422,1.555574,-0.08456148
