TrialID,TaskID,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z
2,Training,OnTask,-0.6850157,1.614281,-0.6518372
2,Training,OnTask,-0.660646,1.599783,-0.6426954
2,Training,OnTask,-0.6684021,1.601642,-0.6282027
2,Training,OnTask,-0.7723032,1.553141,-0.5255808
2,Training,OnTask,-0.4738499,1.543611,-0.5653225
2,Training,OnTask,-0.3173152,1.56706,-0.5987014
2,Training,OnTask,-0.1853974,1.545168,-0.4103705
2,Training,OnTask,-0.4118323,1.6057,-0.6414717
2,Training,OnTask,-0.4510711,1.616709,-0.6639901
2,Training,OnTask,-0.462108,1.53411,-0.5277811
2,Training,OnTask,-0.7351731,1.567779,-0.5511982
2,Training,OnTask,-1.166389,1.574164,-0.2880407
2,Training,OnTask,-1.662733,1.513931,-0.2124574
2,Training,OnTask,-1.568949,1.51426,-0.1963656
2,Training,OnTask,-1.144206,1.528397,-0.2911522
2,Training,OnTask,-0.5833238,1.50161,-0.1005573
2,Training,OnTask,-0.3640978,1.471034,-0.05083438
2,Training,OnTask,-0.1542512,1.423975,0.1162306
2,Training,OnTask,-0.08708801,1.257367,0.2445157
2,Training,OnTask,-0.03475872,1.156257,0.3244144
2,Training,OnTask,-0.03258131,1.157182,0.332632
2,Training,OnTask,-0.01949029,1.154512,0.3322844
2,Training,OnTask,0.05802353,1.141289,0.3181264
2,Training,OnTask,0.0876775,1.137204,0.310871
2,Training,OnTask,0.0913026,1.131091,0.3145798
2,Training,OnTask,0.1133482,1.135045,0.3047537
2,Training,OnTask,0.121763,1.135566,0.3010539
2,Training,OnTask,0.06269675,1.131551,0.3418627
2,Training,OnTask,0.05595637,1.128544,0.3501815
2,Training,OnTask,0.06307517,1.132687,0.3432603
2,Training,OnTask,0.05238112,1.127992,0.347355
2,Training,OnTask,0.05066279,1.12793,0.3513086
2,Training,OnTask,0.06020205,1.132989,0.3457854
2,Training,OnTask,0.08907659,1.146414,0.3329841
2,Training,OnTask,0.1056557,1.155642,0.3232128
2,Training,OnTask,0.1633937,1.146663,0.2924308
2,Training,OnTask,0.1514989,1.141575,0.3032089
2,Training,OnTask,0.151625,1.140301,0.3072485
2,Training,OnTask,0.1483403,1.132432,0.3025101
2,Training,OnTask,0.1057913,1.116149,0.310539
2,Training,OnTask,0.1104073,1.122219,0.3075229
2,Training,OnTask,0.1435446,1.132819,0.2969489
2,Training,OnTask,0.1541392,1.133029,0.2937844
2,Training,OnTask,0.1583397,1.128331,0.2969695
2,Training,OnTask,0.1539126,1.124364,0.29974
2,Training,OnTask,0.1528046,1.121092,0.3008307
2,Training,OnTask,0.1427449,1.117307,0.3050306
2,Training,OnTask,0.1353943,1.121628,0.305922
2,Training,OnTask,0.1390682,1.121086,0.3078521
2,Training,OnTask,0.1376346,1.118985,0.3094399
2,Training,OnTask,0.1337574,1.11807,0.3106395
2,Training,OnTask,0.1234177,1.110804,0.3112558
2,Training,OnTask,0.09417599,1.091793,0.3183762
2,Training,OnTask,0.102472,1.098393,0.3145468
2,Training,OnTask,0.1151675,1.108076,0.3126957
2,Training,OnTask,0.1133975,1.101989,0.3205736
2,Training,OnTask,0.1117846,1.102592,0.3221115
2,Training,OnTask,0.1131873,1.105026,0.3166853
2,Training,OnTask,0.1150749,1.10517,0.3162501
2,Training,OnTask,-0.00221848,1.28486,0.2531759
2,Training,OnTask,-0.4881383,1.491344,-0.07125284
2,Training,OnTask,-0.9570225,1.383031,0.01208811
2,Training,OnTask,-1.938596,1.523726,0.09421852
2,Training,OnTask,-2.256179,1.570164,0.007009079
2,Training,OnTask,-2.291109,1.556539,0.01216065
2,Training,OnTask,-2.44219,1.552879,0.0103274
2,Training,OnTask,-2.466788,1.546409,0.01018485
2,Training,OnTask,-2.528846,1.530595,0.01450194
2,Training,OnTask,-2.534075,1.54087,0.01777748
2,Training,OnTask,-2.530115,1.543019,0.02501306
2,Training,OnTask,-2.520375,1.554052,0.03416922
2,Training,OnTask,-2.501057,1.561034,0.01893789
2,Training,OnTask,-2.502031,1.559439,0.02102842
2,Training,OnTask,-2.505442,1.558151,0.02494251
2,Training,OnTask,-2.506081,1.558769,0.02706473
2,Training,OnTask,-2.50644,1.561442,0.04367057
2,Training,OnTask,-2.47819,1.568256,0.05142697
2,Training,OnTask,-2.471691,1.575599,0.04547255
2,Training,OnTask,-2.459952,1.575658,0.04091142
2,Training,OnTask,-2.461873,1.575108,0.03206663
2,Training,OnTask,-2.465263,1.575179,0.02811212
2,Training,OnTask,-2.466749,1.574453,0.02519115
2,Training,OnTask,-2.467932,1.574033,0.02260397
2,Training,OnTask,-2.462485,1.574688,0.02217538
2,Training,OnTask,-2.462627,1.574357,0.02401431
2,Training,OnTask,-2.461599,1.573491,0.02767583
2,Training,OnTask,-2.461872,1.57257,0.03562725
2,Training,OnTask,-2.460558,1.571835,0.03914782
2,Training,OnTask,-2.458508,1.572346,0.03769539
2,Training,OnTask,-2.456054,1.573188,0.03270211
2,Training,OnTask,-2.456065,1.572988,0.03192606
2,Training,OnTask,-2.454979,1.571733,0.03506604
2,Training,OnTask,-2.455677,1.5715,0.03393075
2,Training,OnTask,-2.460943,1.572537,0.03376877
2,Training,OnTask,-2.506525,1.552264,0.0287981
2,Training,OnTask,-2.490167,1.567278,0.02773774
2,Training,OnTask,-2.464208,1.571102,0.03142837
2,Training,OnTask,-2.459893,1.570432,0.03284372
2,Training,OnTask,-2.458059,1.570782,0.03366991
2,Training,OnTask,-2.460267,1.571208,0.0341695
