TrialID,TaskID,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z
1,Training,PreTask,-0.540777,1.624317,-0.7685856
1,Training,PreTask,-0.5417509,1.625339,-0.7724756
1,Training,PreTask,-0.5419111,1.625139,-0.7726985
1,Training,PreTask,-0.5420647,1.625033,-0.7728299
1,Training,PreTask,-0.5422055,1.624974,-0.7729473
1,Training,PreTask,-0.5423193,1.625035,-0.7731004
1,Training,PreTask,-0.5427512,1.62517,-0.7732277
1,Training,PreTask,-0.5429444,1.625122,-0.773263
1,Training,PreTask,-0.543097,1.625024,-0.7732633
1,Training,PreTask,-0.5432945,1.624945,-0.7732451
1,Training,PreTask,-0.5436919,1.624912,-0.7732608
1,Training,PreTask,-0.5437765,1.62494,-0.7732033
1,Training,PreTask,-0.5439845,1.624959,-0.7731824
1,Training,PreTask,-0.5443534,1.62496,-0.7730558
1,Training,PreTask,-0.5445523,1.624967,-0.7730217
1,Training,PreTask,-0.5448197,1.624919,-0.7728918
1,Training,PreTask,-0.5450185,1.624872,-0.7728083
1,Training,PreTask,-0.5454025,1.62481,-0.7725312
1,Training,PreTask,-0.5455945,1.624794,-0.7723877
1,Training,PreTask,-0.5457934,1.624748,-0.7722497
1,Training,PreTask,-0.5461032,1.624619,-0.7719624
1,Training,PreTask,-0.5462182,1.624552,-0.7717977
1,Training,PreTask,-0.5463308,1.624437,-0.7716234
1,Training,PreTask,-0.5464262,1.624352,-0.7715056
1,Training,PreTask,-0.5465928,1.62423,-0.7711574
1,Training,PreTask,-0.5466523,1.624174,-0.7709862
1,Training,PreTask,-0.5466881,1.624193,-0.7708073
1,Training,PreTask,-0.546762,1.624028,-0.770476
1,Training,PreTask,-0.5467839,1.624027,-0.7702773
1,Training,PreTask,-0.5468107,1.624031,-0.770136
1,Training,PreTask,-0.5468457,1.623888,-0.7697575
1,Training,PreTask,-0.5469234,1.623857,-0.7695179
1,Training,PreTask,-0.5469915,1.623816,-0.7693333
1,Training,PreTask,-0.5471098,1.623887,-0.7689438
1,Training,PreTask,-0.5471807,1.623895,-0.7687557
1,Training,PreTask,-0.5472339,1.623908,-0.7685339
1,Training,PreTask,-0.5472661,1.623947,-0.7683573
1,Training,PreTask,-0.5473675,1.623905,-0.7679911
1,Training,PreTask,-0.5473945,1.623959,-0.7677832
1,Training,PreTask,-0.5474387,1.623996,-0.767625
1,Training,PreTask,-0.5474612,1.624062,-0.7675069
1,Training,PreTask,-0.5475538,1.62411,-0.7671641
1,Training,PreTask,-0.5475843,1.624108,-0.7669623
1,Training,PreTask,-0.547762,1.62404,-0.7665933
1,Training,PreTask,-0.5478059,1.624034,-0.7663919
1,Training,PreTask,-0.5478884,1.623878,-0.766153
1,Training,PreTask,-0.547917,1.62371,-0.7656028
1,Training,PreTask,-0.5480015,1.623653,-0.7653499
1,Training,PreTask,-0.5480162,1.623625,-0.765022
1,Training,PreTask,-0.5481048,1.623469,-0.7643358
1,Training,PreTask,-0.5481696,1.623386,-0.764029
1,Training,PreTask,-0.5482322,1.623272,-0.763703
1,Training,PreTask,-0.5482934,1.623038,-0.7629982
1,Training,PreTask,-0.5483985,1.622923,-0.7627121
1,Training,PreTask,-0.5484457,1.62287,-0.7624204
1,Training,PreTask,-0.5486092,1.622978,-0.762133
1,Training,PreTask,-0.5486394,1.623026,-0.7620878
1,Training,PreTask,-0.5487579,1.623201,-0.762102
1,Training,PreTask,-0.5488448,1.623701,-0.7625802
1,Training,PreTask,-0.5489048,1.623993,-0.7630415
1,Training,PreTask,-0.5488902,1.624191,-0.7635863
1,Training,PreTask,-0.5488938,1.624903,-0.7647512
1,Training,PreTask,-0.548883,1.62522,-0.7654094
1,Training,PreTask,-0.5488485,1.62545,-0.7659409
1,Training,PreTask,-0.5488499,1.625587,-0.7664548
1,Training,PreTask,-0.548796,1.625969,-0.7673482
1,Training,PreTask,-0.5487686,1.62619,-0.7677541
1,Training,PreTask,-0.5487597,1.626304,-0.7680689
1,Training,PreTask,-0.5486463,1.626274,-0.7683753
1,Training,PreTask,-0.5486641,1.62629,-0.7685776
1,Training,PreTask,-0.5486304,1.626264,-0.7686451
1,Training,PreTask,-0.5486075,1.626168,-0.7685657
1,Training,PreTask,-0.5485767,1.626103,-0.768468
1,Training,PreTask,-0.5485138,1.625883,-0.7680627
1,Training,PreTask,-0.5485011,1.625729,-0.7678297
1,Training,PreTask,-0.5484635,1.625552,-0.7674773
1,Training,PreTask,-0.5484484,1.625382,-0.7672046
1,Training,PreTask,-0.5483432,1.625126,-0.7666965
1,Training,PreTask,-0.548313,1.624937,-0.7664196
1,Training,PreTask,-0.5482162,1.624817,-0.7661449
1,Training,PreTask,-0.5479668,1.624635,-0.7657411
1,Training,PreTask,-0.5478196,1.624566,-0.765585
1,Training,PreTask,-0.547704,1.624461,-0.7654488
1,Training,PreTask,-0.5474255,1.624269,-0.7652532
1,Training,PreTask,-0.5472513,1.624214,-0.7652265
1,Training,PreTask,-0.5470476,1.624186,-0.7652107
1,Training,PreTask,-0.5468532,1.624162,-0.7652042
1,Training,PreTask,-0.5466946,1.624163,-0.7652543
1,Training,PreTask,-0.5463239,1.624211,-0.7654042
1,Training,PreTask,-0.5461695,1.624285,-0.7654864
1,Training,PreTask,-0.546001,1.624326,-0.7656101
1,Training,PreTask,-0.5458328,1.624375,-0.7656951
1,Training,PreTask,-0.5454466,1.624455,-0.765967
1,Training,PreTask,-0.545269,1.624486,-0.7660438
1,Training,PreTask,-0.5450724,1.62455,-0.766173
1,Training,PreTask,-0.5448943,1.624612,-0.7662961
1,Training,PreTask,-0.5446837,1.624657,-0.7664281
1,Training,PreTask,-0.5443426,1.624658,-0.7666255
1,Training,PreTask,-0.5441741,1.624717,-0.7666895
1,Training,PreTask,-0.5440047,1.624699,-0.7667406
1,Training,PreTask,-0.5437777,1.624645,-0.7667888
1,Training,PreTask,-0.543273,1.624714,-0.7668244
1,Training,PreTask,-0.5429885,1.624734,-0.7668225
1,Training,PreTask,-0.5427076,1.624779,-0.766861
1,Training,PreTask,-0.5424458,1.624755,-0.7668356
1,Training,PreTask,-0.5419918,1.624729,-0.7668566
1,Training,PreTask,-0.5417101,1.624682,-0.7668499
1,Training,PreTask,-0.5414596,1.624697,-0.7668827
1,Training,PreTask,-0.5411743,1.624676,-0.7669305
1,Training,PreTask,-0.5406439,1.624621,-0.766997
1,Training,PreTask,-0.5404058,1.624615,-0.7670156
1,Training,PreTask,-0.5402088,1.624519,-0.7670261
1,Training,PreTask,-0.5399714,1.624509,-0.7670881
