TrialID,TaskID,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z
2,Training,OnTask,-0.690626,1.613526,-0.640165
2,Training,OnTask,-0.6894348,1.61359,-0.6414312
2,Training,OnTask,-0.6889702,1.613651,-0.6420784
2,Training,OnTask,-0.688529,1.613604,-0.642696
2,Training,OnTask,-0.6877342,1.613604,-0.6439985
2,Training,OnTask,-0.6874845,1.613669,-0.6446326
2,Training,OnTask,-0.6871975,1.613752,-0.6453143
2,Training,OnTask,-0.686662,1.613866,-0.6465304
2,Training,OnTask,-0.6864451,1.613911,-0.6471015
2,Training,OnTask,-0.6862897,1.613994,-0.6476927
2,Training,OnTask,-0.6860491,1.61411,-0.6482959
2,Training,OnTask,-0.6857138,1.614221,-0.6493596
2,Training,OnTask,-0.6855805,1.614299,-0.649889
2,Training,OnTask,-0.6854266,1.614317,-0.6504015
2,Training,OnTask,-0.685153,1.614325,-0.6513687
2,Training,OnTask,-0.6850157,1.614281,-0.6518372
2,Training,OnTask,-0.684913,1.614261,-0.6522867
2,Training,OnTask,-0.6847284,1.614276,-0.6530697
2,Training,OnTask,-0.6845678,1.614314,-0.6534514
2,Training,OnTask,-0.6843576,1.614388,-0.6538008
2,Training,OnTask,-0.6838595,1.614515,-0.6544976
2,Training,OnTask,-0.6836649,1.614483,-0.6548168
2,Training,OnTask,-0.6834559,1.614453,-0.6551381
2,Training,OnTask,-0.6829907,1.614407,-0.6557112
2,Training,OnTask,-0.6827391,1.614422,-0.6559669
2,Training,OnTask,-0.6823983,1.614439,-0.6561778
2,Training,OnTask,-0.681712,1.61432,-0.656559
2,Training,OnTask,-0.6813807,1.614243,-0.6567069
2,Training,OnTask,-0.6809994,1.614127,-0.6568205
2,Training,OnTask,-0.6800022,1.613565,-0.65705
2,Training,OnTask,-0.6795703,1.613286,-0.6570367
2,Training,OnTask,-0.6790557,1.612936,-0.6569402
2,Training,OnTask,-0.6778831,1.612282,-0.6566141
2,Training,OnTask,-0.6772315,1.611951,-0.656353
2,Training,OnTask,-0.6765002,1.611639,-0.656207
2,Training,OnTask,-0.6751083,1.610689,-0.6555022
2,Training,OnTask,-0.6743619,1.610092,-0.6550469
2,Training,OnTask,-0.6728442,1.608782,-0.6540016
2,Training,OnTask,-0.6720729,1.608171,-0.6534615
2,Training,OnTask,-0.6704367,1.606899,-0.6521343
2,Training,OnTask,-0.6695906,1.606301,-0.6514716
2,Training,OnTask,-0.6678923,1.605157,-0.6500971
2,Training,OnTask,-0.6670432,1.604541,-0.6493708
2,Training,OnTask,-0.6653826,1.603367,-0.6478802
2,Training,OnTask,-0.6645572,1.602716,-0.6471815
2,Training,OnTask,-0.6631058,1.601574,-0.6456747
2,Training,OnTask,-0.6617919,1.600607,-0.6442397
2,Training,OnTask,-0.660646,1.599783,-0.6426954
2,Training,OnTask,-0.6596433,1.599159,-0.6412391
2,Training,OnTask,-0.6588562,1.598646,-0.6399207
2,Training,OnTask,-0.6582758,1.598257,-0.6386347
2,Training,OnTask,-0.6579239,1.598054,-0.637458
2,Training,OnTask,-0.6577165,1.598035,-0.6364536
2,Training,OnTask,-0.6577144,1.598186,-0.6356209
2,Training,OnTask,-0.657951,1.598462,-0.634974
2,Training,OnTask,-0.6584948,1.598775,-0.6343203
2,Training,OnTask,-0.6591395,1.599214,-0.6337984
